,key,accn,unit,val,form,end,filed,fy
0,AccountsPayable,0001193125-09-153165,USD,5520000000.0,10-Q,2008-09-27,2009-07-22,2009
1,AccountsPayable,0001193125-09-153165,USD,4854000000.0,10-Q,2009-06-27,2009-07-22,2009
2,AccountsPayableCurrent,0001193125-09-214859,USD,5520000000.0,10-K,2008-09-27,2009-10-27,2009
3,AccountsPayableCurrent,0001193125-10-012091,USD,5520000000.0,10-K/A,2008-09-27,2010-01-25,2009
4,AccountsPayableCurrent,0001193125-09-214859,USD,5601000000.0,10-K,2009-09-26,2009-10-27,2009
5,AccountsPayableCurrent,0001193125-10-012085,USD,5601000000.0,10-Q,2009-09-26,2010-01-25,2010
6,AccountsPayableCurrent,0001193125-10-012091,USD,5601000000.0,10-K/A,2009-09-26,2010-01-25,2009
7,AccountsPayableCurrent,0001193125-10-088957,USD,5601000000.0,10-Q,2009-09-26,2010-04-21,2010
8,AccountsPayableCurrent,0001193125-10-162840,USD,5601000000.0,10-Q,2009-09-26,2010-07-21,2010
9,AccountsPayableCurrent,0001193125-10-238044,USD,5601000000.0,10-K,2009-09-26,2010-10-27,2010
10,AccountsPayableCurrent,0001193125-10-012085,USD,6511000000.0,10-Q,2009-12-26,2010-01-25,2010
11,AccountsPayableCurrent,0001193125-10-088957,USD,5666000000.0,10-Q,2010-03-27,2010-04-21,2010
12,AccountsPayableCurrent,0001193125-10-162840,USD,8469000000.0,10-Q,2010-06-26,2010-07-21,2010
13,AccountsPayableCurrent,0001193125-10-238044,USD,12015000000.0,10-K,2010-09-25,2010-10-27,2010
14,AccountsPayableCurrent,0001193125-11-010144,USD,12015000000.0,10-Q,2010-09-25,2011-01-19,2011
15,AccountsPayableCurrent,0001193125-11-104388,USD,12015000000.0,10-Q,2010-09-25,2011-04-21,2011
16,AccountsPayableCurrent,0001193125-11-192493,USD,12015000000.0,10-Q,2010-09-25,2011-07-20,2011
17,AccountsPayableCurrent,0001193125-11-282113,USD,12015000000.0,10-K,2010-09-25,2011-10-26,2011
18,AccountsPayableCurrent,0001193125-11-010144,USD,14301000000.0,10-Q,2010-12-25,2011-01-19,2011
19,AccountsPayableCurrent,0001193125-11-104388,USD,13714000000.0,10-Q,2011-03-26,2011-04-21,2011
20,AccountsPayableCurrent,0001193125-11-192493,USD,15270000000.0,10-Q,2011-06-25,2011-07-20,2011
21,AccountsPayableCurrent,0001193125-11-282113,USD,14632000000.0,10-K,2011-09-24,2011-10-26,2011
22,AccountsPayableCurrent,0001193125-12-023398,USD,14632000000.0,10-Q,2011-09-24,2012-01-25,2012
23,AccountsPayableCurrent,0001193125-12-182321,USD,14632000000.0,10-Q,2011-09-24,2012-04-25,2012
24,AccountsPayableCurrent,0001193125-12-314552,USD,14632000000.0,10-Q,2011-09-24,2012-07-25,2012
25,AccountsPayableCurrent,0001193125-12-444068,USD,14632000000.0,10-K,2011-09-24,2012-10-31,2012
26,AccountsPayableCurrent,0001193125-13-170623,USD,14632000000.0,8-K,2011-09-24,2013-04-24,2012
27,AccountsPayableCurrent,0001193125-12-023398,USD,18221000000.0,10-Q,2011-12-31,2012-01-25,2012
28,AccountsPayableCurrent,0001193125-12-182321,USD,17011000000.0,10-Q,2012-03-31,2012-04-25,2012
29,AccountsPayableCurrent,0001193125-12-314552,USD,16808000000.0,10-Q,2012-06-30,2012-07-25,2012
30,AccountsPayableCurrent,0001193125-12-444068,USD,21175000000.0,10-K,2012-09-29,2012-10-31,2012
31,AccountsPayableCurrent,0001193125-13-022339,USD,21175000000.0,10-Q,2012-09-29,2013-01-24,2013
32,AccountsPayableCurrent,0001193125-13-168288,USD,21175000000.0,10-Q,2012-09-29,2013-04-24,2013
33,AccountsPayableCurrent,0001193125-13-170623,USD,21175000000.0,8-K,2012-09-29,2013-04-24,2012
34,AccountsPayableCurrent,0001193125-13-300670,USD,21175000000.0,10-Q,2012-09-29,2013-07-24,2013
35,AccountsPayableCurrent,0001193125-13-416534,USD,21175000000.0,10-K,2012-09-29,2013-10-30,2013
36,AccountsPayableCurrent,0001193125-13-022339,USD,26398000000.0,10-Q,2012-12-29,2013-01-24,2013
37,AccountsPayableCurrent,0001193125-13-168288,USD,14912000000.0,10-Q,2013-03-30,2013-04-24,2013
38,AccountsPayableCurrent,0001193125-13-300670,USD,15516000000.0,10-Q,2013-06-29,2013-07-24,2013
39,AccountsPayableCurrent,0001193125-13-416534,USD,22367000000.0,10-K,2013-09-28,2013-10-30,2013
40,AccountsPayableCurrent,0001193125-14-024487,USD,22367000000.0,10-Q,2013-09-28,2014-01-28,2014
41,AccountsPayableCurrent,0001193125-14-157311,USD,22367000000.0,10-Q,2013-09-28,2014-04-24,2014
42,AccountsPayableCurrent,0001193125-14-277160,USD,22367000000.0,10-Q,2013-09-28,2014-07-23,2014
43,AccountsPayableCurrent,0001193125-14-383437,USD,22367000000.0,10-K,2013-09-28,2014-10-27,2014
44,AccountsPayableCurrent,0001193125-15-023732,USD,22367000000.0,8-K,2013-09-28,2015-01-28,2014
45,AccountsPayableCurrent,0001193125-14-024487,USD,29588000000.0,10-Q,2013-12-28,2014-01-28,2014
46,AccountsPayableCurrent,0001193125-14-157311,USD,18914000000.0,10-Q,2014-03-29,2014-04-24,2014
47,AccountsPayableCurrent,0001193125-14-277160,USD,20535000000.0,10-Q,2014-06-28,2014-07-23,2014
48,AccountsPayableCurrent,0001193125-14-383437,USD,30196000000.0,10-K,2014-09-27,2014-10-27,2014
49,AccountsPayableCurrent,0001193125-15-023697,USD,30196000000.0,10-Q,2014-09-27,2015-01-28,2015
50,AccountsPayableCurrent,0001193125-15-023732,USD,30196000000.0,8-K,2014-09-27,2015-01-28,2014
51,AccountsPayableCurrent,0001193125-15-153166,USD,30196000000.0,10-Q,2014-09-27,2015-04-28,2015
52,AccountsPayableCurrent,0001193125-15-259935,USD,30196000000.0,10-Q,2014-09-27,2015-07-22,2015
53,AccountsPayableCurrent,0001193125-15-356351,USD,30196000000.0,10-K,2014-09-27,2015-10-28,2015
54,AccountsPayableCurrent,0001193125-15-023697,USD,38001000000.0,10-Q,2014-12-27,2015-01-28,2015
55,AccountsPayableCurrent,0001193125-15-153166,USD,23159000000.0,10-Q,2015-03-28,2015-04-28,2015
56,AccountsPayableCurrent,0001193125-15-259935,USD,26474000000.0,10-Q,2015-06-27,2015-07-22,2015
57,AccountsPayableCurrent,0001193125-15-356351,USD,35490000000.0,10-K,2015-09-26,2015-10-28,2015
58,AccountsPayableCurrent,0001193125-16-439878,USD,35490000000.0,10-Q,2015-09-26,2016-01-27,2016
59,AccountsPayableCurrent,0001193125-16-559625,USD,35490000000.0,10-Q,2015-09-26,2016-04-27,2016
60,AccountsPayableCurrent,0001628280-16-017809,USD,35490000000.0,10-Q,2015-09-26,2016-07-27,2016
61,AccountsPayableCurrent,0001628280-16-020309,USD,35490000000.0,10-K,2015-09-26,2016-10-26,2016
62,AccountsPayableCurrent,0001193125-16-439878,USD,33312000000.0,10-Q,2015-12-26,2016-01-27,2016
63,AccountsPayableCurrent,0001193125-16-559625,USD,25098000000.0,10-Q,2016-03-26,2016-04-27,2016
64,AccountsPayableCurrent,0001628280-16-017809,USD,26318000000.0,10-Q,2016-06-25,2016-07-27,2016
65,AccountsPayableCurrent,0001628280-16-020309,USD,37294000000.0,10-K,2016-09-24,2016-10-26,2016
66,AccountsPayableCurrent,0001628280-17-000717,USD,37294000000.0,10-Q,2016-09-24,2017-02-01,2017
67,AccountsPayableCurrent,0001628280-17-004790,USD,37294000000.0,10-Q,2016-09-24,2017-05-03,2017
68,AccountsPayableCurrent,0000320193-17-000009,USD,37294000000.0,10-Q,2016-09-24,2017-08-02,2017
69,AccountsPayableCurrent,0000320193-17-000070,USD,37294000000.0,10-K,2016-09-24,2017-11-03,2017
70,AccountsPayableCurrent,0001628280-17-000717,USD,38510000000.0,10-Q,2016-12-31,2017-02-01,2017
71,AccountsPayableCurrent,0001628280-17-004790,USD,28573000000.0,10-Q,2017-04-01,2017-05-03,2017
72,AccountsPayableCurrent,0000320193-17-000009,USD,31915000000.0,10-Q,2017-07-01,2017-08-02,2017
73,AccountsPayableCurrent,0000320193-17-000070,USD,49049000000.0,10-K,2017-09-30,2017-11-03,2017
74,AccountsPayableCurrent,0000320193-18-000007,USD,49049000000.0,10-Q,2017-09-30,2018-02-02,2018
75,AccountsPayableCurrent,0000320193-18-000070,USD,49049000000.0,10-Q,2017-09-30,2018-05-02,2018
76,AccountsPayableCurrent,0000320193-18-000100,USD,49049000000.0,10-Q,2017-09-30,2018-08-01,2018
77,AccountsPayableCurrent,0000320193-18-000145,USD,44242000000.0,10-K,2017-09-30,2018-11-05,2018
78,AccountsPayableCurrent,0000320193-18-000007,USD,62985000000.0,10-Q,2017-12-30,2018-02-02,2018
79,AccountsPayableCurrent,0000320193-18-000070,USD,34311000000.0,10-Q,2018-03-31,2018-05-02,2018
80,AccountsPayableCurrent,0000320193-18-000100,USD,38489000000.0,10-Q,2018-06-30,2018-08-01,2018
81,AccountsPayableCurrent,0000320193-18-000145,USD,55888000000.0,10-K,2018-09-29,2018-11-05,2018
82,AccountsPayableCurrent,0000320193-19-000010,USD,55888000000.0,10-Q,2018-09-29,2019-01-30,2019
83,AccountsPayableCurrent,0000320193-19-000066,USD,55888000000.0,10-Q,2018-09-29,2019-05-01,2019
84,AccountsPayableCurrent,0000320193-19-000076,USD,55888000000.0,10-Q,2018-09-29,2019-07-31,2019
85,AccountsPayableCurrent,0000320193-19-000119,USD,55888000000.0,10-K,2018-09-29,2019-10-31,2019
86,AccountsPayableCurrent,0000320193-19-000010,USD,44293000000.0,10-Q,2018-12-29,2019-01-30,2019
87,AccountsPayableCurrent,0000320193-19-000066,USD,30443000000.0,10-Q,2019-03-30,2019-05-01,2019
88,AccountsPayableCurrent,0000320193-19-000076,USD,29115000000.0,10-Q,2019-06-29,2019-07-31,2019
89,AccountsPayableCurrent,0000320193-19-000119,USD,46236000000.0,10-K,2019-09-28,2019-10-31,2019
90,AccountsPayableCurrent,0000320193-20-000010,USD,46236000000.0,10-Q,2019-09-28,2020-01-29,2020
91,AccountsPayableCurrent,0000320193-20-000052,USD,46236000000.0,10-Q,2019-09-28,2020-05-01,2020
92,AccountsPayableCurrent,0000320193-20-000062,USD,46236000000.0,10-Q,2019-09-28,2020-07-31,2020
93,AccountsPayableCurrent,0000320193-20-000096,USD,46236000000.0,10-K,2019-09-28,2020-10-30,2020
94,AccountsPayableCurrent,0000320193-20-000010,USD,45111000000.0,10-Q,2019-12-28,2020-01-29,2020
95,AccountsPayableCurrent,0000320193-20-000052,USD,32421000000.0,10-Q,2020-03-28,2020-05-01,2020
96,AccountsPayableCurrent,0000320193-20-000062,USD,35325000000.0,10-Q,2020-06-27,2020-07-31,2020
97,AccountsPayableCurrent,0000320193-20-000096,USD,42296000000.0,10-K,2020-09-26,2020-10-30,2020
98,AccountsPayableCurrent,0000320193-21-000010,USD,42296000000.0,10-Q,2020-09-26,2021-01-28,2021
99,AccountsPayableCurrent,0000320193-21-000056,USD,42296000000.0,10-Q,2020-09-26,2021-04-29,2021
100,AccountsPayableCurrent,0000320193-21-000065,USD,42296000000.0,10-Q,2020-09-26,2021-07-28,2021
101,AccountsPayableCurrent,0000320193-21-000105,USD,42296000000.0,10-K,2020-09-26,2021-10-29,2021
102,AccountsPayableCurrent,0000320193-21-000010,USD,63846000000.0,10-Q,2020-12-26,2021-01-28,2021
103,AccountsPayableCurrent,0000320193-21-000056,USD,40127000000.0,10-Q,2021-03-27,2021-04-29,2021
104,AccountsPayableCurrent,0000320193-21-000065,USD,40409000000.0,10-Q,2021-06-26,2021-07-28,2021
105,AccountsPayableCurrent,0000320193-21-000105,USD,54763000000.0,10-K,2021-09-25,2021-10-29,2021
106,AccountsReceivableNetCurrent,0001193125-09-153165,USD,2422000000.0,10-Q,2008-09-27,2009-07-22,2009
107,AccountsReceivableNetCurrent,0001193125-09-214859,USD,2422000000.0,10-K,2008-09-27,2009-10-27,2009
108,AccountsReceivableNetCurrent,0001193125-10-012091,USD,2422000000.0,10-K/A,2008-09-27,2010-01-25,2009
109,AccountsReceivableNetCurrent,0001193125-09-153165,USD,2686000000.0,10-Q,2009-06-27,2009-07-22,2009
110,AccountsReceivableNetCurrent,0001193125-09-214859,USD,3361000000.0,10-K,2009-09-26,2009-10-27,2009
111,AccountsReceivableNetCurrent,0001193125-10-012085,USD,3361000000.0,10-Q,2009-09-26,2010-01-25,2010
112,AccountsReceivableNetCurrent,0001193125-10-012091,USD,3361000000.0,10-K/A,2009-09-26,2010-01-25,2009
113,AccountsReceivableNetCurrent,0001193125-10-088957,USD,3361000000.0,10-Q,2009-09-26,2010-04-21,2010
114,AccountsReceivableNetCurrent,0001193125-10-162840,USD,3361000000.0,10-Q,2009-09-26,2010-07-21,2010
115,AccountsReceivableNetCurrent,0001193125-10-238044,USD,3361000000.0,10-K,2009-09-26,2010-10-27,2010
116,AccountsReceivableNetCurrent,0001193125-10-012085,USD,3090000000.0,10-Q,2009-12-26,2010-01-25,2010
117,AccountsReceivableNetCurrent,0001193125-10-088957,USD,2886000000.0,10-Q,2010-03-27,2010-04-21,2010
118,AccountsReceivableNetCurrent,0001193125-10-162840,USD,3447000000.0,10-Q,2010-06-26,2010-07-21,2010
119,AccountsReceivableNetCurrent,0001193125-10-238044,USD,5510000000.0,10-K,2010-09-25,2010-10-27,2010
120,AccountsReceivableNetCurrent,0001193125-11-010144,USD,5510000000.0,10-Q,2010-09-25,2011-01-19,2011
121,AccountsReceivableNetCurrent,0001193125-11-104388,USD,5510000000.0,10-Q,2010-09-25,2011-04-21,2011
122,AccountsReceivableNetCurrent,0001193125-11-192493,USD,5510000000.0,10-Q,2010-09-25,2011-07-20,2011
123,AccountsReceivableNetCurrent,0001193125-11-282113,USD,5510000000.0,10-K,2010-09-25,2011-10-26,2011
124,AccountsReceivableNetCurrent,0001193125-11-010144,USD,6027000000.0,10-Q,2010-12-25,2011-01-19,2011
125,AccountsReceivableNetCurrent,0001193125-11-104388,USD,5798000000.0,10-Q,2011-03-26,2011-04-21,2011
126,AccountsReceivableNetCurrent,0001193125-11-192493,USD,6102000000.0,10-Q,2011-06-25,2011-07-20,2011
127,AccountsReceivableNetCurrent,0001193125-11-282113,USD,5369000000.0,10-K,2011-09-24,2011-10-26,2011
128,AccountsReceivableNetCurrent,0001193125-12-023398,USD,5369000000.0,10-Q,2011-09-24,2012-01-25,2012
129,AccountsReceivableNetCurrent,0001193125-12-182321,USD,5369000000.0,10-Q,2011-09-24,2012-04-25,2012
130,AccountsReceivableNetCurrent,0001193125-12-314552,USD,5369000000.0,10-Q,2011-09-24,2012-07-25,2012
131,AccountsReceivableNetCurrent,0001193125-12-444068,USD,5369000000.0,10-K,2011-09-24,2012-10-31,2012
132,AccountsReceivableNetCurrent,0001193125-13-170623,USD,5369000000.0,8-K,2011-09-24,2013-04-24,2012
133,AccountsReceivableNetCurrent,0001193125-12-023398,USD,8930000000.0,10-Q,2011-12-31,2012-01-25,2012
134,AccountsReceivableNetCurrent,0001193125-12-182321,USD,7042000000.0,10-Q,2012-03-31,2012-04-25,2012
135,AccountsReceivableNetCurrent,0001193125-12-314552,USD,7657000000.0,10-Q,2012-06-30,2012-07-25,2012
136,AccountsReceivableNetCurrent,0001193125-12-444068,USD,10930000000.0,10-K,2012-09-29,2012-10-31,2012
137,AccountsReceivableNetCurrent,0001193125-13-022339,USD,10930000000.0,10-Q,2012-09-29,2013-01-24,2013
138,AccountsReceivableNetCurrent,0001193125-13-168288,USD,10930000000.0,10-Q,2012-09-29,2013-04-24,2013
139,AccountsReceivableNetCurrent,0001193125-13-170623,USD,10930000000.0,8-K,2012-09-29,2013-04-24,2012
140,AccountsReceivableNetCurrent,0001193125-13-300670,USD,10930000000.0,10-Q,2012-09-29,2013-07-24,2013
141,AccountsReceivableNetCurrent,0001193125-13-416534,USD,10930000000.0,10-K,2012-09-29,2013-10-30,2013
142,AccountsReceivableNetCurrent,0001193125-13-022339,USD,11598000000.0,10-Q,2012-12-29,2013-01-24,2013
143,AccountsReceivableNetCurrent,0001193125-13-168288,USD,7084000000.0,10-Q,2013-03-30,2013-04-24,2013
144,AccountsReceivableNetCurrent,0001193125-13-300670,USD,8839000000.0,10-Q,2013-06-29,2013-07-24,2013
145,AccountsReceivableNetCurrent,0001193125-13-416534,USD,13102000000.0,10-K,2013-09-28,2013-10-30,2013
146,AccountsReceivableNetCurrent,0001193125-14-024487,USD,13102000000.0,10-Q,2013-09-28,2014-01-28,2014
147,AccountsReceivableNetCurrent,0001193125-14-157311,USD,13102000000.0,10-Q,2013-09-28,2014-04-24,2014
148,AccountsReceivableNetCurrent,0001193125-14-277160,USD,13102000000.0,10-Q,2013-09-28,2014-07-23,2014
149,AccountsReceivableNetCurrent,0001193125-14-383437,USD,13102000000.0,10-K,2013-09-28,2014-10-27,2014
150,AccountsReceivableNetCurrent,0001193125-15-023732,USD,13102000000.0,8-K,2013-09-28,2015-01-28,2014
151,AccountsReceivableNetCurrent,0001193125-14-024487,USD,14200000000.0,10-Q,2013-12-28,2014-01-28,2014
152,AccountsReceivableNetCurrent,0001193125-14-157311,USD,9700000000.0,10-Q,2014-03-29,2014-04-24,2014
153,AccountsReceivableNetCurrent,0001193125-14-277160,USD,10788000000.0,10-Q,2014-06-28,2014-07-23,2014
154,AccountsReceivableNetCurrent,0001193125-14-383437,USD,17460000000.0,10-K,2014-09-27,2014-10-27,2014
155,AccountsReceivableNetCurrent,0001193125-15-023697,USD,17460000000.0,10-Q,2014-09-27,2015-01-28,2015
156,AccountsReceivableNetCurrent,0001193125-15-023732,USD,17460000000.0,8-K,2014-09-27,2015-01-28,2014
157,AccountsReceivableNetCurrent,0001193125-15-153166,USD,17460000000.0,10-Q,2014-09-27,2015-04-28,2015
158,AccountsReceivableNetCurrent,0001193125-15-259935,USD,17460000000.0,10-Q,2014-09-27,2015-07-22,2015
159,AccountsReceivableNetCurrent,0001193125-15-356351,USD,17460000000.0,10-K,2014-09-27,2015-10-28,2015
160,AccountsReceivableNetCurrent,0001193125-15-023697,USD,16709000000.0,10-Q,2014-12-27,2015-01-28,2015
161,AccountsReceivableNetCurrent,0001193125-15-153166,USD,10905000000.0,10-Q,2015-03-28,2015-04-28,2015
162,AccountsReceivableNetCurrent,0001193125-15-259935,USD,10370000000.0,10-Q,2015-06-27,2015-07-22,2015
163,AccountsReceivableNetCurrent,0001193125-15-356351,USD,16849000000.0,10-K,2015-09-26,2015-10-28,2015
164,AccountsReceivableNetCurrent,0001193125-16-439878,USD,16849000000.0,10-Q,2015-09-26,2016-01-27,2016
165,AccountsReceivableNetCurrent,0001193125-16-559625,USD,16849000000.0,10-Q,2015-09-26,2016-04-27,2016
166,AccountsReceivableNetCurrent,0001628280-16-017809,USD,16849000000.0,10-Q,2015-09-26,2016-07-27,2016
167,AccountsReceivableNetCurrent,0001628280-16-020309,USD,16849000000.0,10-K,2015-09-26,2016-10-26,2016
168,AccountsReceivableNetCurrent,0001193125-16-439878,USD,12953000000.0,10-Q,2015-12-26,2016-01-27,2016
169,AccountsReceivableNetCurrent,0001193125-16-559625,USD,12229000000.0,10-Q,2016-03-26,2016-04-27,2016
170,AccountsReceivableNetCurrent,0001628280-16-017809,USD,11714000000.0,10-Q,2016-06-25,2016-07-27,2016
171,AccountsReceivableNetCurrent,0001628280-16-020309,USD,15754000000.0,10-K,2016-09-24,2016-10-26,2016
172,AccountsReceivableNetCurrent,0001628280-17-000717,USD,15754000000.0,10-Q,2016-09-24,2017-02-01,2017
173,AccountsReceivableNetCurrent,0001628280-17-004790,USD,15754000000.0,10-Q,2016-09-24,2017-05-03,2017
174,AccountsReceivableNetCurrent,0000320193-17-000009,USD,15754000000.0,10-Q,2016-09-24,2017-08-02,2017
175,AccountsReceivableNetCurrent,0000320193-17-000070,USD,15754000000.0,10-K,2016-09-24,2017-11-03,2017
176,AccountsReceivableNetCurrent,0001628280-17-000717,USD,14057000000.0,10-Q,2016-12-31,2017-02-01,2017
177,AccountsReceivableNetCurrent,0001628280-17-004790,USD,11579000000.0,10-Q,2017-04-01,2017-05-03,2017
178,AccountsReceivableNetCurrent,0000320193-17-000009,USD,12399000000.0,10-Q,2017-07-01,2017-08-02,2017
179,AccountsReceivableNetCurrent,0000320193-17-000070,USD,17874000000.0,10-K,2017-09-30,2017-11-03,2017
180,AccountsReceivableNetCurrent,0000320193-18-000007,USD,17874000000.0,10-Q,2017-09-30,2018-02-02,2018
181,AccountsReceivableNetCurrent,0000320193-18-000070,USD,17874000000.0,10-Q,2017-09-30,2018-05-02,2018
182,AccountsReceivableNetCurrent,0000320193-18-000100,USD,17874000000.0,10-Q,2017-09-30,2018-08-01,2018
183,AccountsReceivableNetCurrent,0000320193-18-000145,USD,17874000000.0,10-K,2017-09-30,2018-11-05,2018
184,AccountsReceivableNetCurrent,0000320193-18-000007,USD,23440000000.0,10-Q,2017-12-30,2018-02-02,2018
185,AccountsReceivableNetCurrent,0000320193-18-000070,USD,14324000000.0,10-Q,2018-03-31,2018-05-02,2018
186,AccountsReceivableNetCurrent,0000320193-18-000100,USD,14104000000.0,10-Q,2018-06-30,2018-08-01,2018
187,AccountsReceivableNetCurrent,0000320193-18-000145,USD,23186000000.0,10-K,2018-09-29,2018-11-05,2018
188,AccountsReceivableNetCurrent,0000320193-19-000010,USD,23186000000.0,10-Q,2018-09-29,2019-01-30,2019
189,AccountsReceivableNetCurrent,0000320193-19-000066,USD,23186000000.0,10-Q,2018-09-29,2019-05-01,2019
190,AccountsReceivableNetCurrent,0000320193-19-000076,USD,23186000000.0,10-Q,2018-09-29,2019-07-31,2019
191,AccountsReceivableNetCurrent,0000320193-19-000119,USD,23186000000.0,10-K,2018-09-29,2019-10-31,2019
192,AccountsReceivableNetCurrent,0000320193-19-000010,USD,18077000000.0,10-Q,2018-12-29,2019-01-30,2019
193,AccountsReceivableNetCurrent,0000320193-19-000066,USD,15085000000.0,10-Q,2019-03-30,2019-05-01,2019
194,AccountsReceivableNetCurrent,0000320193-19-000076,USD,14148000000.0,10-Q,2019-06-29,2019-07-31,2019
195,AccountsReceivableNetCurrent,0000320193-19-000119,USD,22926000000.0,10-K,2019-09-28,2019-10-31,2019
196,AccountsReceivableNetCurrent,0000320193-20-000010,USD,22926000000.0,10-Q,2019-09-28,2020-01-29,2020
197,AccountsReceivableNetCurrent,0000320193-20-000052,USD,22926000000.0,10-Q,2019-09-28,2020-05-01,2020
198,AccountsReceivableNetCurrent,0000320193-20-000062,USD,22926000000.0,10-Q,2019-09-28,2020-07-31,2020
199,AccountsReceivableNetCurrent,0000320193-20-000096,USD,22926000000.0,10-K,2019-09-28,2020-10-30,2020
200,AccountsReceivableNetCurrent,0000320193-20-000010,USD,20970000000.0,10-Q,2019-12-28,2020-01-29,2020
201,AccountsReceivableNetCurrent,0000320193-20-000052,USD,15722000000.0,10-Q,2020-03-28,2020-05-01,2020
202,AccountsReceivableNetCurrent,0000320193-20-000062,USD,17882000000.0,10-Q,2020-06-27,2020-07-31,2020
203,AccountsReceivableNetCurrent,0000320193-20-000096,USD,16120000000.0,10-K,2020-09-26,2020-10-30,2020
204,AccountsReceivableNetCurrent,0000320193-21-000010,USD,16120000000.0,10-Q,2020-09-26,2021-01-28,2021
205,AccountsReceivableNetCurrent,0000320193-21-000056,USD,16120000000.0,10-Q,2020-09-26,2021-04-29,2021
206,AccountsReceivableNetCurrent,0000320193-21-000065,USD,16120000000.0,10-Q,2020-09-26,2021-07-28,2021
207,AccountsReceivableNetCurrent,0000320193-21-000105,USD,16120000000.0,10-K,2020-09-26,2021-10-29,2021
208,AccountsReceivableNetCurrent,0000320193-21-000010,USD,27101000000.0,10-Q,2020-12-26,2021-01-28,2021
209,AccountsReceivableNetCurrent,0000320193-21-000056,USD,18503000000.0,10-Q,2021-03-27,2021-04-29,2021
210,AccountsReceivableNetCurrent,0000320193-21-000065,USD,17475000000.0,10-Q,2021-06-26,2021-07-28,2021
211,AccountsReceivableNetCurrent,0000320193-21-000105,USD,26278000000.0,10-K,2021-09-25,2021-10-29,2021
212,AccruedIncomeTaxesCurrent,0001193125-10-238044,USD,430000000.0,10-K,2009-09-26,2010-10-27,2010
213,AccruedIncomeTaxesCurrent,0001193125-10-162840,USD,430000000.0,10-Q,2009-09-26,2010-07-21,2010
214,AccruedIncomeTaxesCurrent,0001193125-10-162840,USD,56000000.0,10-Q,2010-06-26,2010-07-21,2010
215,AccruedIncomeTaxesCurrent,0001193125-11-010144,USD,210000000.0,10-Q,2010-09-25,2011-01-19,2011
216,AccruedIncomeTaxesCurrent,0001193125-10-238044,USD,210000000.0,10-K,2010-09-25,2010-10-27,2010
217,AccruedIncomeTaxesCurrent,0001193125-11-010144,USD,152000000.0,10-Q,2010-12-25,2011-01-19,2011
