report_short_name,report_long_name,report_url
Document and Entity Information,100000 - Document - Document and Entity Information,https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R1.htm
INCOME STATEMENTS,100010 - Statement - INCOME STATEMENTS,https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R2.htm
COMPREHENSIVE INCOME STATEMENTS,100020 - Statement - COMPREHENSIVE INCOME STATEMENTS,https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R3.htm
BALANCE SHEETS,100030 - Statement - BALANCE SHEETS,https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R4.htm
BALANCE SHEETS (Parenthetical),100040 - Statement - BALANCE SHEETS (Parenthetical),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R5.htm
CASH FLOWS STATEMENTS,100050 - Statement - CASH FLOWS STATEMENTS,https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R6.htm
STOCKHOLDERS' EQUITY STATEMENTS,100060 - Statement - STOCKHOLDERS' EQUITY STATEMENTS,https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R7.htm
ACCOUNTING POLICIES,100070 - Disclosure - ACCOUNTING POLICIES,https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R8.htm
EARNINGS PER SHARE,100080 - Disclosure - EARNINGS PER SHARE,https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R9.htm
"OTHER INCOME (EXPENSE), NET","100090 - Disclosure - OTHER INCOME (EXPENSE), NET",https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R10.htm
INVESTMENTS,100100 - Disclosure - INVESTMENTS,https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R11.htm
DERIVATIVES,100110 - Disclosure - DERIVATIVES,https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R12.htm
INVENTORIES,100120 - Disclosure - INVENTORIES,https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R13.htm
BUSINESS COMBINATIONS,100130 - Disclosure - BUSINESS COMBINATIONS,https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R14.htm
GOODWILL,100140 - Disclosure - GOODWILL,https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R15.htm
INTANGIBLE ASSETS,100150 - Disclosure - INTANGIBLE ASSETS,https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R16.htm
DEBT,100160 - Disclosure - DEBT,https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R17.htm
INCOME TAXES,100170 - Disclosure - INCOME TAXES,https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R18.htm
UNEARNED REVENUE,100180 - Disclosure - UNEARNED REVENUE,https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R19.htm
LEASES,100190 - Disclosure - LEASES,https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R20.htm
CONTINGENCIES,100200 - Disclosure - CONTINGENCIES,https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R21.htm
